prov_persona_en_situacion_violencia,edad_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,vinculo_con_la_persona_agresora
0,19.0,1,1,1,0,0,0,2
0,46.0,1,1,0,0,1,1,5
7,28.0,0,0,0,0,1,1,5
12,34.0,0,0,0,0,0,1,0
0,38.0,1,1,0,1,0,1,0
0,57.0,1,1,0,1,0,1,5
20,39.0,1,1,1,1,1,1,0
12,24.0,1,1,1,1,0,1,5
13,22.0,1,1,0,1,0,1,5
20,52.0,1,1,0,0,0,1,5
0,26.0,1,1,0,1,0,1,5
20,41.0,1,1,0,1,0,1,5
18,44.0,0,0,1,0,1,1,0
6,44.0,1,1,0,0,0,1,2
6,40.0,0,0,0,0,0,0,2
20,34.0,1,1,0,0,1,1,5
23,27.0,1,1,0,0,0,1,0
0,24.0,0,0,0,0,0,1,0
0,42.0,1,1,0,0,0,1,5
13,25.0,1,1,0,0,0,1,5
9,49.0,1,1,0,0,0,1,5
0,15.0,1,1,0,0,0,1,0
20,23.0,1,1,0,1,0,1,5
0,49.0,0,0,0,1,0,1,0
20,38.0,1,1,0,0,0,1,0
6,26.0,1,1,1,1,0,1,0
6,20.0,0,0,0,0,0,1,0
6,5.0,1,1,1,0,0,1,4
15,22.0,1,1,1,1,0,1,5
0,29.0,1,1,0,1,0,1,5
0,38.0,1,1,0,1,0,1,5
23,38.0,1,1,0,0,0,1,5
12,25.0,1,1,0,0,0,1,0
0,19.0,0,0,0,0,0,0,6
16,20.0,0,0,0,0,0,1,0
12,44.0,1,1,0,1,0,1,0
0,45.0,0,0,0,0,0,1,0
21,18.0,1,1,0,0,0,1,4
0,49.0,1,1,0,1,0,1,5
4,27.0,1,1,0,0,0,1,5
0,33.0,1,1,0,0,0,1,5
0,36.0,1,1,0,1,1,1,0
0,41.0,1,1,1,0,0,1,5
0,20.0,0,0,0,0,1,1,0
0,28.0,1,1,0,0,1,1,0
0,33.0,0,0,0,0,1,1,0
0,33.0,0,0,0,0,0,1,0
0,34.0,0,0,0,0,0,1,5
0,20.0,1,1,0,1,1,1,5
0,40.0,0,0,0,0,0,1,5
16,28.0,1,1,0,1,0,1,5
0,27.0,1,1,0,1,0,1,0
0,26.0,1,1,0,1,0,1,5
0,31.0,1,1,0,0,0,1,0
2,37.0,1,1,0,1,0,1,0
0,42.0,0,0,0,0,0,1,0
0,26.0,1,1,0,0,0,1,5
0,51.0,1,1,1,1,1,1,0
0,29.0,1,1,0,1,0,1,0
16,33.0,1,1,0,1,0,1,0
0,34.0,1,1,0,1,0,1,5
15,45.0,1,1,0,0,0,1,5
6,30.0,0,0,0,0,0,1,5
0,22.0,1,1,0,0,0,1,5
4,17.0,1,1,0,0,1,1,0
4,31.0,1,1,0,0,0,1,0
4,31.0,1,1,1,0,0,0,2
4,35.0,1,1,0,1,1,1,0
4,41.0,0,0,0,0,0,1,0
4,48.0,0,0,0,0,0,1,0
